DQN game 73, Run time: 0.09 seconds, Score: 0, Best: 1, Epsilon: 0.9646
DQN game 74, Run time: 0.40 seconds, Score: 0, Best: 1, Epsilon: 0.9641
DQN game 75, Run time: 0.42 seconds, Score: 0, Best: 1, Epsilon: 0.9637
DQN game 76, Run time: 0.66 seconds, Score: 0, Best: 1, Epsilon: 0.9632
DQN game 77, Run time: 0.06 seconds, Score: 0, Best: 1, Epsilon: 0.9627
DQN game 78, Run time: 0.14 seconds, Score: 1, Best: 1, Epsilon: 0.9622
DQN game 79, Run time: 0.52 seconds, Score: 0, Best: 1, Epsilon: 0.9617
DQN game 80, Run time: 0.39 seconds, Score: 0, Best: 1, Epsilon: 0.9613
DQN game 81, Run time: 0.12 seconds, Score: 0, Best: 1, Epsilon: 0.9608
DQN game 82, Run time: 0.14 seconds, Score: 0, Best: 1, Epsilon: 0.9603
DQN game 83, Run time: 0.43 seconds, Score: 0, Best: 1, Epsilon: 0.9598
DQN game 84, Run time: 0.28 seconds, Score: 0, Best: 1, Epsilon: 0.9593
DQN game 85, Run time: 0.64 seconds, Score: 0, Best: 1, Epsilon: 0.9589
DQN game 86, Run time: 0.34 seconds, Score: 1, Best: 1, Epsilon: 0.9584
DQN game 87, Run time: 0.37 seconds, Score: 0, Best: 1, Epsilon: 0.9579
DQN game 88, Run time: 0.28 seconds, Score: 0, Best: 1, Epsilon: 0.9574
DQN game 89, Run time: 0.50 seconds, Score: 0, Best: 1, Epsilon: 0.9569
DQN game 90, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.9565
DQN game 91, Run time: 0.17 seconds, Score: 0, Best: 1, Epsilon: 0.9560
DQN game 92, Run time: 0.04 seconds, Score: 1, Best: 1, Epsilon: 0.9555
DQN game 93, Run time: 0.13 seconds, Score: 0, Best: 1, Epsilon: 0.9550
DQN game 94, Run time: 0.33 seconds, Score: 0, Best: 1, Epsilon: 0.9546
DQN game 95, Run time: 0.62 seconds, Score: 0, Best: 1, Epsilon: 0.9541
